F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
Europe,-519.12,-111.17,-1712.7,27195.48,2.1,10.2,-12.59,9,High,3.68,1.24,-1.95,45.57,58,3,235.33
Europe,-1522.11,-61.37,-1415.85,21362.13,7.95,27.28,-7.7,15,Low,0.48,12.76,-5.52,27.39,27.52,3,1246.22
Europe,-1269.51,-113.55,-1170.69,23859.03,2.92,111.7,-8.25,18,Medium,7.94,10.26,-1.49,26.4,212,3,0
Europe,-920.64,-80.39,-2120.22,30583.77,5.24,55.62,-12.66,15,Very high,0.18,1.48,-1.38,20.76,213.16,2,319.78
Europe,-2295.06,-133.33,-1995.54,12361.41,2.96,-35.2,-5.67,18,High,0.2,15.72,-3.95,28.71,196.84,3,2018.38
UK,-1705.29,-70.46,-873.84,34692.45,0.21,78.44,-3.24,12,High,0.04,1.74,5.04,4.26,-30.04,2,0
Europe,-355.77,-81.35,-3268.47,9965.13,2.09,43.3,-7.12,6,High,76.36,10.96,-6.62,35.46,148.84,5,1661.04
UK,-1346.61,-84.38,-1558.38,33689.58,4.68,77.22,-7.77,15,Very low,0.92,6.58,-10.84,57.03,142.84,5,0
Europe,-723.21,-64.54,-3236.52,38461.26,2.11,150.88,-4.01,6,Low,7.48,3.84,-7.8,16.2,130.58,3,0
Europe,-1220.67,-131.61,-2008.11,26718.9,1.24,78.22,-2.34,15,Low,0.06,2.26,-2.73,46.59,221.9,4,0
USA,-421.65,-72.82,-2816.37,34724.01,0.28,69.64,-8.77,6,Medium,1.02,4.14,-0.14,5.76,218.46,6,633.27
USA,1152.03,-45.44,-776.61,31792.65,4.98,116.16,-4.22,15,Very high,1.12,7.5,-1.19,21.66,340.22,4,0
UK,428.88,-57.31,-2569.74,37003.59,2.89,-65.6,-10.45,9,High,6.78,7.56,-6.34,28.77,186.14,5,2547.65
Europe,-305.55,-60.67,-1879.23,34038.9,4.83,138.26,-6.33,3,Very high,11.08,28.46,-8.97,25.62,177.88,4,2165.36
Rest,326.16,-60.27,-1567.41,10305.63,11.33,21.8,-2.97,15,Low,21.98,14.66,-5.31,20.13,202.52,2,598.77
UK,-1630.65,-94.44,-3024.27,26106.09,3.21,109.86,-6.55,0,Low,0.1,9.8,-5.98,35.22,152.66,5,2238.1
UK,-62.04,-101.76,-1703.61,14327.07,3.47,16.5,-13.11,9,High,0.2,3.64,-1.43,18.12,231.98,4,482.89
Europe,-915.24,-94.08,-2826.96,24005.31,6.07,-32.5,-3.37,9,Very low,0.28,6.12,-6.09,26.49,151.56,3,1506.1
USA,-1531.62,-69.12,-3056.43,23073.96,10.94,93.84,-6.89,9,Very high,14.66,8.22,-3.12,36.27,99.7,4,3734.99
USA,-1007.19,-130.99,-2611.59,24983.22,1.83,163.28,-7.68,18,Low,0.04,24.86,-4.04,38.61,185.7,4,662.8
UK,-1871.16,-102.88,-2066.88,17391.72,5.93,141.08,-6.49,6,Very high,0.46,10.56,-5.18,34.47,154.78,1,1380.56
Europe,-335.91,-51.25,-2449.53,14218.56,0.33,116.54,-11.69,15,Low,2672.98,13.48,-0.5,19.68,47.56,4,0
Europe,-1049.34,-59.48,-2638.14,-944.16,2.23,-57.32,-7.45,9,Medium,0.12,3.7,-4.37,14.31,140.38,4,1507.61
Rest,-318.87,-137.66,-1098.24,30704.97,1.42,-4.78,-8.08,12,Medium,2.5,5.96,4.52,30.09,328.78,2,0
Europe,-374.28,-114.61,-3023.52,56295.39,4.56,43.48,-9.08,21,Low,0.04,3.68,-4.29,11.34,163.12,3,0
UK,-665.52,-84.37,-2220.3,9316.86,2.17,63.08,-7.12,12,Low,2.44,2.74,-2.74,23.04,151.68,4,0
UK,-1428.18,-104,-3552.78,28931.34,3.58,12.92,-5.01,12,Very high,82.46,1.4,-6.4,27.48,47.48,2,1993.53
Europe,-2213.19,-94.28,-1735.86,39719.04,4.7,-4.66,-7.82,12,High,5.44,3.98,-4.21,42,492.46,4,1413.83
Europe,530.76,-116.21,-1673.58,27529.11,0.89,186.34,-9.56,15,Low,69.86,5.24,-4.18,17.55,103.18,6,0
USA,-278.31,-58.96,-2917.59,24130.56,4.75,-1.48,-8.78,9,Very low,0.02,2.38,-2.5,21.54,234.88,2,599.04
USA,-388.47,-132.92,-2882.91,21063.81,2.11,29.86,-8.42,6,Medium,53.76,4.76,-4.27,7.23,258.54,7,2637.04
UK,-723.63,-125.68,-2816.22,16654.77,8.12,46.98,-9.31,9,Very low,301.34,11.72,-1.14,28.68,139.46,3,2184.74
Europe,-733.8,-91.23,-2911.44,38755.56,4.81,30.9,-8.73,15,Medium,0.12,3.36,-3.95,10.5,78.74,10,1640.37
UK,-2340.57,-80.9,-2620.74,21645.84,3.46,65.3,-5.87,15,Very high,0.04,13.8,-1.51,6.42,153.32,2,2369.37
USA,-518.04,-92.05,-2178.87,5209.44,2.92,75,-7.08,12,Very high,0.56,10.48,-0.21,25.71,205.64,3,1031.12
UK,542.85,-64.18,-3119.85,19596.93,5.49,-8.16,-9.11,6,High,17.56,5.68,-6.49,21.78,195.4,2,2135.45
Rest,312.54,-139.55,-1928.01,31568.7,2.38,33.1,-2.27,6,High,3.48,4.64,-6.73,21.42,190.46,0,0
USA,-726.12,-100.34,-1996.32,16652.1,8.31,49.62,-10.42,9,High,0.08,19.02,-6.75,37.47,131.92,5,3759.64
Rest,592.44,-129.35,-2469.9,19839.42,2.65,133.8,-5.74,21,Very high,0.26,5.76,-4.58,69.3,184.12,3,0
UK,71.61,-56.94,-1643.28,24052.11,4.09,141.38,-4.36,12,Medium,4.24,8.44,-2.83,11.7,101.32,4,0
USA,-1144.41,-117.26,-3147.63,44389.08,4.11,6.62,-9.16,27,High,2.64,13.46,-3.64,44.91,185.1,4,2952.31
USA,-40.98,-35.61,-1764.24,27902.76,1.24,139.78,-4.33,6,Very low,20.84,4.4,-2.42,43.95,117.26,3,0
Europe,834.57,-65.61,-3299.64,5382.09,1.77,1.66,-5.69,12,Very high,0.94,6.82,-3.02,40.38,89.14,7,1489.92
Rest,-797.61,-66.91,-2987.34,23327.76,3.13,115.62,-4.13,18,Very high,2.96,2.74,-5.1,18.3,210.5,3,0
Rest,1178.85,-76.13,-1885.2,36256.8,2.45,104.62,-8.74,12,High,0.06,5.72,-3.03,28.47,178.36,5,0
Rest,-158.13,-94.43,-2514.24,1046.46,2.08,117.52,-11.48,9,Very high,43.52,2.66,-5.39,2.07,220.8,6,110.45
USA,-1100.28,-125.18,-791.01,37399.98,1.3,90.96,-8.15,15,Very high,2.2,8,-5.9,6.69,-34.2,6,51.91
USA,-1473.3,-154.83,-2524.17,5108.94,3.45,-47.5,-8.12,12,Very low,6.8,12.42,-3.22,61.44,186.62,4,3466.18
USA,-2300.31,-102.37,-3212.73,25840.02,2.34,28.58,-12.62,18,Medium,1090.66,2.6,-1.75,32.28,160.12,1,392.95
UK,-2427.33,-89.31,-1812.99,18903,7.6,87.38,-10.89,15,Medium,1.78,2.66,-3.5,17.58,5.76,2,176.14
Europe,-1844.85,-107.85,-2729.16,23922.93,4.56,124.64,-6.77,12,Very low,0.3,9.32,-1.54,43.2,178.04,3,345.58
Europe,-522.39,-81.03,-2360.43,14308.11,4.27,133.1,-9,9,Very high,0.08,2.52,-5.93,30.18,172,1,0
Rest,-1363.5,-155.48,-1135.71,21146.7,0.65,6.34,-2.38,15,Very low,0.18,2.04,-3.48,43.92,394.78,7,0
Europe,-718.98,-78.95,-3737.46,31216.68,0.81,-28.56,-5.11,15,Medium,0.38,23.66,2.23,25.02,171.58,5,2731.66
UK,-85.23,-53.99,-1077.21,25174.29,3.97,86.98,-6.24,3,High,2.08,3.06,-2.89,20.91,182.06,3,0
UK,-264.72,-114.95,-2196.84,31020.27,6.73,112.58,-5.87,9,Low,1.64,15.18,-3.97,42.33,210.04,3,999.41
UK,15.6,-85.56,-1875.93,14135.97,3.81,35.38,-5.79,9,High,44.1,8.4,-1.8,32.37,45.5,3,728.66
Europe,-1.02,-104.82,-3335.67,32858.61,2.06,64.38,-7.78,9,Medium,1.38,4.36,-3.37,33.36,234.3,3,323.67
Rest,-394.65,-102.51,-2955.3,24355.2,7.75,15,-9.32,12,Very high,2.8,8.96,2.29,30.36,152.16,4,1274.75
USA,340.86,-30.87,671.1,41411.16,3.6,-66.46,-10.36,12,Very low,0.48,7.84,-1.3,29.43,133.1,2,0
UK,-2067.9,-68.38,-1706.94,19161.24,1.83,56.24,-6.91,12,Very high,9.88,7.28,-9.63,20.25,185.78,1,312.47
Rest,-601.26,-75.61,-1780.35,25600.47,6.09,126.36,-10.52,6,Low,0.38,4.16,5.03,41.49,216,9,327.45
USA,-1145.79,-46.41,-2014.44,21961.11,6.68,42.22,-1.1,15,Very low,0,9.58,-1.96,34.98,180.46,5,1789.7
Europe,-1204.77,-87.4,-2011.11,20728.02,0.28,-35.68,-5.59,6,High,0,19.88,-4.08,46.32,192.2,3,2300.05
USA,384,-68.67,-2871.54,15373.02,3.43,78.14,-4.89,12,Very low,2.56,1.3,-6.27,28.86,163.38,3,0
USA,-908.64,-112.23,-3999.33,40011.51,1.22,56.28,-6.02,6,Low,0.02,10.28,-11.84,28.83,87.54,6,3370.5
Europe,-698.58,-89.45,-527.07,20309.61,3.11,120,-9.62,6,Very high,0.22,4.54,-7.03,15.99,321.2,2,0
USA,-1324.32,-136.59,-3575.61,29891.73,2.71,50.5,-10.75,18,High,4.86,2.3,-4.68,27.9,149.94,5,1460.68
UK,-1579.32,-142.2,-973.11,23726.85,3.09,82.38,-4.12,12,High,12.14,8,-3.62,36.9,175.3,3,0
UK,32.22,-95.13,-1386.81,27281.22,6.41,33.02,-3.57,6,Medium,1.18,4.32,-7.01,17.91,207.98,3,385.45
UK,405.18,-99.88,-3074.37,21007.26,2.9,136.64,-4.75,0,Very low,134.32,10.1,-1.49,36.09,213.88,2,0
UK,-58.5,-75.33,-1783.41,16780.89,2.98,93.96,-1.83,12,Very low,0.6,5,-2.58,-15.18,157.96,5,0
Europe,657.93,-150.54,-2647.65,48827.25,1.09,93.64,-9.89,9,Very low,0.18,19.82,-2.03,30.87,243.06,3,287.79
Rest,548.04,-121.33,-1420.44,23963.7,5.04,104.14,-2.69,18,Very high,0,1.26,-3.62,41.52,197.32,5,0
Europe,-1221.39,-101.39,-2299.8,4575.15,9.74,0.7,-11.19,15,Very low,3.46,3.7,-1.51,14.94,201.6,4,1230.7
Rest,-774.75,-64.15,-1143.27,18681.57,5.09,130.78,-7.02,9,Very high,11.28,19.7,-3.22,32.94,192.56,4,580.16
Europe,-870.57,-92.33,-3003.78,27283.02,2.36,14.92,-9.85,18,High,0.32,3.28,-5.57,30.9,304.7,3,559.58
Rest,-1603.35,-108.55,-4022.49,26421.39,5.62,156.12,-9.11,15,Medium,25.6,17.28,0.42,18.75,59.98,3,753.15
Europe,-234.48,-109.44,-2276.13,3688.59,8.8,136,-14.49,12,High,1.22,15.38,0.13,61.41,142.98,5,1379.56
UK,-1794.33,-106.4,-3043.5,35260.17,5.2,159.26,-7.08,9,Very low,14.42,9,-9.79,60.57,155.9,6,991.99
Europe,-1707.36,-99.91,-2115.15,23167.98,1.84,56.62,-13.08,12,Low,84.24,7.18,-4.58,12.21,228.32,6,680.69
USA,499.68,-83.73,-2302.05,22516.86,2.17,67.64,-14.09,6,Medium,26.26,4,-3.31,36.81,272.06,4,0
USA,-1231.92,-92.1,-2912.7,36632.04,6.11,52.2,-6.7,12,Very high,1.68,3.68,-0.44,1.35,207.24,4,3012.88
Europe,280.29,-88.03,-4062.72,22380.93,3.91,11.16,-3.67,12,Very low,0.28,2.06,-1.99,26.61,271.02,4,675.89
Rest,-1009.68,-100.47,-2440.95,26936.34,0.65,20.18,-6.52,15,High,10.6,2.58,-3.32,35.85,215.44,4,148.1
USA,-2047.89,-100.05,-3397.08,28833,4.11,-77.68,-6.91,9,Very low,0.24,15.36,-5.91,31.5,98.64,3,3786.86
Europe,-326.16,-110.73,-3926.1,10212.42,1.51,6.08,-5.49,9,Medium,0.02,4.2,-2.38,-35.82,121.14,4,1228.06
USA,-364.38,-113.45,-2702.55,28108.89,1.89,111.08,-1.17,9,Medium,174.34,6.54,-1.41,-47.52,174.46,4,28.72
Rest,250.59,-84.73,-1180.26,20036.52,4.41,94.78,-4.13,9,Very high,0.52,11.08,-6.53,11.52,424.26,2,79.88
Rest,-753.3,-68.41,-2032.62,48987.54,8.16,161.54,-9.08,18,Very low,10.5,5.62,0.83,29.79,198.08,5,0
Rest,305.79,-49.39,-2062.5,69570.78,2.35,3.64,-7.71,6,Low,0,27.46,1.47,29.73,152.04,2,1068.12
USA,-1618.32,-64.41,-2218.47,26208.63,2.29,127.14,-11.94,3,Low,0.22,6.48,-3.12,25.77,224.4,6,789.74
UK,-284.04,-78.05,-2452.62,6689.76,4.79,84.74,-2.99,6,Very low,0.58,6,-1.86,18.78,165.76,3,0
UK,-1332.42,-130.28,-2682.33,9831.66,5.57,104.7,-8.03,12,Medium,0.66,4.02,-5.61,33.42,135.18,2,0
UK,-270,-79.55,-1048.53,23791.05,2.46,9.74,-5.86,9,Low,0.22,4.02,-6.25,27.78,143.14,2,0
UK,-166.05,-102.2,-2458.83,25861.2,1.79,-81.28,-6.69,24,High,0,14.14,0.08,32.76,155.98,4,2319.48
Rest,-1427.76,-168.89,-2418.39,35745.36,5.85,58.98,-4.42,15,Low,0.64,4.32,-5.94,60.18,188.54,2,138.26
Europe,-507.33,-113.58,-2547.57,32244.87,3.17,87.62,-8.49,30,Low,0,5,-3.51,19.02,231.9,7,0
UK,375.42,-54.81,-4036.53,45813.75,1.05,5.96,-7.1,18,Very low,0.02,6.76,-3.09,21.36,371.38,4,86.74
UK,-85.68,-85.81,-2128.47,22506.69,3.8,174.76,-7.24,12,Very high,11.14,11.92,-4.68,29.16,125.76,3,0
Europe,43.32,-104.38,-4197.96,34817.67,1.97,90.26,-7.59,3,Very low,0.16,7.56,-5.32,27.6,99.74,7,1192.01
USA,-1789.65,-84.95,-1086.39,17870.19,5.39,-5.72,-4.5,15,Very low,0.04,5.56,-6.69,30.24,157.66,5,1070.63
USA,588.57,-141.96,-3350.52,40958.76,2.71,-42.14,-4.21,9,Low,64.78,15.08,-8.03,28.56,143.98,7,3717.51
Europe,-1008.6,-58.54,-1534.14,24864.45,0.58,114.46,-6.54,9,Medium,0.52,7.42,-3.28,47.88,167.2,3,0
Rest,-23.88,-71.85,-1157.79,38854.47,7.75,19.38,-9.38,6,Very low,1.24,3.48,-1.97,14.88,153.94,5,262.57
UK,-911.31,-33.52,-3547.29,31849.38,5.54,-43.74,-7.63,15,Medium,31.32,8.32,-3.45,53.07,235.94,5,2830.23
Rest,1019.88,-137.77,-1940.64,9057.06,2.96,102.62,-6.62,9,Very high,5.16,11.8,-5.69,43.65,294.86,4,133.18
Rest,-1118.43,-96.74,-2989.29,5546.31,5.22,46.34,-7.66,18,Very high,1.3,13.46,-4.18,16.71,127.1,3,922.76
USA,-2034.42,-61.8,-1567.53,23611.56,8.7,17.42,-9.85,9,Very low,6.42,4.88,-6.94,31.59,177.86,7,3417.85
UK,-2939.55,-37.69,-2018.37,22048.29,4.23,4.5,-6.67,12,High,23.54,1.66,-5.74,34.35,119.64,6,2511.1
Europe,48.57,-145.42,-2466.81,17895.15,9.51,186.5,-5.86,9,Low,0.02,7.2,-6.71,27.45,96.08,5,260.01
Europe,-328.17,-70.51,-4130.82,22458.57,5.49,-33.2,-7.47,9,High,0.06,2.44,3.8,21.99,130.58,6,2468.4
UK,-315.93,-93.87,-1712.91,28166.88,8.62,88.2,-9.3,18,Medium,4.7,8.42,-4.24,26.79,133.28,2,0
USA,-290.31,-123.14,-1116.39,19313.94,5.7,94.32,-10.71,9,Medium,0.14,1.24,-4.64,25.47,95.56,4,0
Europe,-1227.78,-131.53,-2823.66,23906.13,5.99,-45.08,-10.96,9,Low,1.92,7.42,0.45,33.15,158.8,1,1673.54
UK,-2332.56,-91.28,-3214.35,27900.09,0.58,31.22,-2.27,9,High,0.02,6.72,-3.29,23.49,242.92,9,2838.96
UK,-316.68,-137.94,-3094.2,30413.13,2.71,82.48,-2.76,18,Very high,5783.84,9.92,-0.98,16.68,182.18,5,1042.25
UK,-322.32,-89.58,-2468.04,22613.64,1.46,79.24,-6.6,9,Very low,11.08,6.16,-6.51,24.36,180.38,1,0
UK,-28.56,-81.7,-1330.32,38917.23,4.88,85.96,-4.78,6,Very high,0.12,16.42,-0.84,40.23,107.26,3,1754.37
Rest,-352.32,-72.89,-4149.27,22165.74,1.85,0.96,-7.83,9,Very high,0.02,1.56,-4.91,51.54,307.56,3,756.18
UK,343.44,-78.97,-2795.07,20440.32,10.34,-10.42,-4.49,9,Very high,0.4,5.2,-6.5,40.68,192.16,5,2864.29
UK,602.4,-51.46,-1442.97,12487.38,3.2,53.96,-1.61,15,Medium,38.38,17.58,-4.31,46.08,213.36,3,0
Rest,-1512.03,-121.38,-996.96,31256.4,2.55,59.74,-7.18,15,Very low,2.4,1.46,-4.16,17.34,239.38,4,0
Europe,-681.84,-99.89,-1567.44,37232.73,4.69,208.98,-6.5,12,Very high,0.04,5.04,-2.81,40.68,386.06,5,0
Europe,-430.68,-90.47,-1594.26,20111.01,2.24,84.28,-2.21,9,Low,2.38,2.04,-0.97,23.73,171.24,4,0
UK,-1547.43,-94.46,-2496.18,28896.33,6.26,91.48,-4.83,12,Medium,0.08,6.2,-0.53,15.66,225.48,9,2439.73
Rest,-1329.87,-97.51,-2303.25,23761.5,6.33,137.02,-5.44,18,Low,6.52,8.82,-1.95,30.66,156.26,5,110.44
Europe,-482.07,-93.02,-2700.15,13455.87,8.42,-27.14,-4.38,18,Medium,117.16,9.94,-4.97,30.21,147.76,7,2288.95
UK,-406.8,-124.79,-2106.57,40749.51,3.03,-71.06,-8.5,12,High,0.06,6.68,-0.7,41.16,126.66,1,1750.53
Rest,-365.55,-82.89,-1650.72,26347.68,5.14,39.72,-9,9,Medium,5.28,1.2,-2.03,26.79,94.98,8,389.91
UK,336.57,-104.67,-1870.53,29452.29,3.67,20.52,-5.89,15,Low,0.18,15.1,-5.13,63.75,391.06,1,0
USA,224.4,-101.51,-2684.52,68706.57,5.42,-15.66,-8.44,15,Medium,0.68,3.74,-3.97,28.29,215.9,4,1510.38
Europe,-567.15,-141.13,-3333.9,20317.08,3.99,133.42,-1.65,3,Low,0,5.68,0.75,26.82,339.76,4,579.51
USA,688.23,-99.82,-1697.37,31680.63,9.88,30.94,-8.38,12,Medium,4.9,10.08,-5.51,27.54,208.76,3,1879.29
Europe,193.59,-95.79,-2498.37,23022.93,0.7,33.78,-8.26,12,Very high,22.54,6.14,-6.48,28.08,295.3,4,470.74
UK,-5.88,-50.04,-2316.72,30792.45,4.21,-39.66,-5.59,15,High,580.26,19.36,1.49,29.19,314.68,6,2872.69
USA,-1515.06,-177.15,-2452.8,23827.65,1.85,115.08,-8.95,9,Very low,0.7,20.78,-7.89,34.53,193.56,4,1862.98
USA,-225.93,-123.65,-2922.42,9708.24,0.78,125.18,-10.12,21,Very low,5.08,6.88,-5.75,27.96,116.3,4,0
Rest,-692.01,-65.96,-2438.46,23423.07,3.34,110.46,-4.2,12,Medium,0.02,23.92,-2.55,21.72,134.24,4,763.44
Europe,-2258.28,-61.37,-2165.55,38560.86,8.32,72.42,-8.4,6,Very high,0,4.94,-2.81,46.74,208.14,6,2308.05
UK,-1206.81,-82.13,-1816.53,15937.98,3.49,98.84,-9.54,12,Very low,0.02,18.72,-2.95,25.62,133.32,3,543.83
USA,-884.34,-76.24,-2377.5,13316.88,1.92,77.42,-12.31,6,Low,0,1.78,-1.61,7.74,176.12,6,303.17
USA,-287.49,-85.82,-1631.82,9690.81,4.96,38.48,-4.51,6,Very low,0,11.08,0.07,25.56,184.5,5,1679.11
USA,-399.09,-95.91,-2510.43,30988.89,10.82,57.2,-4.18,12,Very low,0.02,7.2,-9.27,19.2,207.86,5,2736.88
USA,-711,-134.55,-1914.42,36642.33,3.11,28.72,-11.25,12,Very high,8.62,4,-6.47,12.84,159.9,6,1850.87
USA,-625.11,-105.55,-1621.95,29388.3,1.63,48.46,-6.19,24,Medium,83.56,7.06,-3.09,34.38,102.06,1,0
UK,-910.32,-62.81,-3025.74,28070.4,1.4,80.82,-7.87,9,Very high,3.96,1.22,1.45,29.67,212.98,2,0
Europe,-880.65,-138.31,-1192.08,19128.15,0.37,56.96,-9.36,3,High,0.34,12.86,-2.91,32.37,192.64,6,1140.17
USA,-1688.82,-103.28,-2870.79,29393.52,5.9,-12.14,-6.26,15,Very high,0.34,18.42,0.3,16.74,165.22,2,3780.14
Rest,1495.56,-101.42,-1816.68,22071.75,4.88,54.86,-4.82,15,High,0.64,22.58,-2.74,48.51,201.04,4,528.88
Europe,-1861.41,-116.42,-2594.88,33580.65,5.06,112.08,-9.38,18,High,4.48,3.28,-4.53,34.62,238.66,4,371.23
Rest,461.58,-85.01,-2443.35,28446.15,5.88,69.26,-10.35,6,Very high,3.1,2.58,-4.06,29.76,211.34,2,225.58
Rest,-759.09,-124.76,-2972.28,27986.37,5.58,152.1,-0.66,6,Medium,3.94,9.1,-2.76,37.5,189.58,4,360.45
Rest,-1789.62,-80.03,-1345.2,5519.46,9.6,103.52,-5.21,9,High,31.84,5.42,-2.65,35.43,133.18,5,639.35
Rest,124.77,-88.38,-2173.92,39072.75,0.47,38.02,-8.46,9,Very high,0.08,11.86,3.33,32.04,-159.52,3,356.43
UK,586.83,-111.4,-2360.31,11074.59,2.01,135.24,-8.68,12,Very high,0.16,4.94,-4.9,10.23,1.46,4,0
USA,-2662.5,-79.71,-2356.14,16159.89,6.17,26.9,0.18,9,Medium,0.58,7.54,-3.19,32.97,93.58,2,3378.5
USA,-2029.83,-152.1,-2407.47,31533.48,2.1,30.64,-0.28,12,Low,4.74,7.28,-3.1,36.06,342.62,4,1512.03
UK,-1009.41,-85.3,-1714.77,17492.22,1.64,49.18,-11.47,18,Very high,2.54,8.6,-9.42,46.35,336.1,5,492.5
UK,1675.92,-116.47,-3340.86,18300.48,0.6,27.42,-6.06,9,Low,0.34,11.54,-7.41,35.67,177.26,1,0
Europe,49.8,-53.44,-1063.65,27602.52,2.83,-11.04,-6.54,9,High,151.66,11.72,-5.19,35.79,166.52,7,1392.54
Europe,-1522.77,-69.54,-3033.36,25145.91,0.39,48.7,-4.98,6,Very high,0.46,9.34,-1.36,35.28,226.08,4,1616.27
Europe,1393.29,-42.96,-1786.68,18000.39,4.72,107.32,-9.6,12,Low,0.4,6.82,-3.02,28.44,292.16,6,0
Rest,-2280.39,-67.87,-2051.61,5040.48,4.85,116.48,-4.9,9,Medium,0.02,18.04,-6.04,18.33,205.36,8,1341.95
Rest,-794.73,-91.27,-1892.01,26194.26,6.64,55.7,-7.88,6,Medium,0.06,5.36,-2.84,26.01,188.14,3,429.02
USA,211.26,-90.15,-2422.32,25370.79,10.21,41.94,-4.88,9,Low,6.42,1.9,-0.16,29.94,221.54,2,801.73
UK,-1007.76,-139.86,-2225.91,8622.69,2.51,32.92,-3.73,9,Very low,74.42,1.16,-1.7,28.95,195.84,3,0
UK,-99.3,-81.53,-2462.16,27338.94,2.34,84.94,-5.06,15,Low,4.28,6.78,1.52,41.22,289.12,5,0
Rest,-1200.72,-134.66,-2551.17,24811.14,4.08,-2.08,-10.77,9,Low,6.84,9.08,-7.98,45.9,172,0,442.63
Rest,-1941.12,-116.48,-1483.08,45089.58,1.93,9.86,-8.89,18,Low,6.88,6.72,0.66,35.31,316.12,6,258.27
USA,129.3,-67.12,-2780.22,7181.16,2.66,44.08,-12.17,18,Medium,4.14,1.6,-7.26,26.46,228.52,3,0
UK,945.39,-106,-2616.15,21381,6.66,35.92,-7.77,3,Very high,1912.68,8.72,-1.61,36.18,179.44,6,2672.58
UK,725.28,-80.83,-3034.74,13216.92,0.92,104.16,-5.88,12,Very low,200.14,13.66,-1.08,29.37,12.82,4,0
Europe,-1605,-113.78,-1571.04,23677.47,7.2,46.82,-0.99,6,Very high,206.12,8.76,-6.76,32.1,140.36,1,1444.47
UK,558.93,-88.36,-2399.31,23823.21,2.88,83.3,-5.93,18,Very high,1.16,4.36,-1.64,38.94,137,6,0
USA,-2066.19,-75.44,-1730.22,26685.3,2.22,-77.66,-7.25,12,High,0.08,4.64,-2.19,24.36,159.46,3,3238.52
USA,-443.97,-105.5,-2853.66,22207.41,3.47,127.28,-2.54,9,Low,2.44,0.86,-5.61,31.47,53.52,7,33.15
Europe,441.63,-100.03,-3697.05,31040.31,1.04,97.9,-8.69,21,Low,1.4,3.72,-0.69,28.2,173.42,6,0
Europe,-693.27,-89.05,-889.38,14691.33,4.25,57.36,-6.92,9,Very low,101.68,20.98,-4.68,8.49,112.68,2,615.93
Rest,-945.57,-42.99,-2051.88,14649.72,7.59,-23.88,-4.95,9,Medium,2.82,6.88,-10.47,34.98,161.78,2,868.75
UK,397.65,-75.71,-2571.12,9208.2,2.74,41.66,-2.42,6,Very high,1.46,5.28,-7.09,14.85,177,4,1248.44
UK,1370.52,-88.88,-2150.88,26329.14,9.69,9.76,-0.58,3,Low,3.04,4.6,1.57,27.51,76.54,4,1753.12
Rest,-341.16,-19.82,-4121.31,31015.47,0.75,95.12,-10.05,9,Very low,287.38,1.72,-6.31,33.84,155.8,2,0
UK,180.03,-94.48,-2403,22167.78,4.08,106.86,-11.85,9,Medium,5.36,1.06,-7.91,-3.3,237.22,5,0
UK,-872.7,-51.85,-2248.56,24608.76,6.85,148.94,-7.82,21,High,0.28,5.14,-2.87,14.64,316.5,2,0
USA,-671.19,-44.94,-2165.61,16020.9,5.38,89.26,-7.34,15,Low,18.36,9.12,0.51,8.4,144.34,2,0
Europe,-533.55,-93.18,-3040.35,2837.64,3.57,16.02,-7.17,6,Very low,0.06,4.7,-2.12,29.64,101.26,2,664.94
Europe,-775.83,-87.65,-1278.87,33102.27,5.79,14.44,-6.53,15,Medium,18.22,11.94,-3.86,32.67,249.92,3,884.38
USA,-12.15,-112.74,-3640.68,18362.55,3.57,53.78,-5.87,15,Medium,4.9,17.24,-7.09,37.59,200.98,5,3331.71
Europe,728.28,-88.68,-1656.9,33805.65,0.57,157.8,-9.64,9,Low,0.52,36.44,-3,39.78,273.78,4,823.58
Europe,-1626.63,-87.45,-1165.26,39134.37,3.12,53.06,-5.47,3,Medium,0.02,11.08,-5.66,-5.58,284.98,4,1174.1
USA,-843.18,-39.56,-3446.52,27530.88,5.3,43.6,-9.85,9,High,18.3,2.18,-3.44,36.09,210.44,4,2814.09
USA,169.41,-99.13,-2418.51,43840.44,5.61,-32.1,-10.21,3,High,67.4,7.22,-3.08,25.71,189.62,2,3370.82
Rest,-563.34,-120.51,-2860.11,31789.59,2.54,54.72,-6.51,18,Very low,8.38,24.14,-3.53,35.46,40.54,1,376.97
Rest,-1133.4,-93.4,-2678.85,38612.37,0.96,153.46,-9.22,9,Medium,1.08,12.8,-5.76,-15.27,168.44,5,196.94
UK,-877.83,-141.49,-2681.46,27701.1,3.16,59.32,-2.7,18,Low,77.48,2.08,-1.4,20.43,212.18,4,0
UK,-361.8,-39.3,-1279.35,15595.53,3.18,30,-4.82,6,High,0.62,8.3,-6.86,29.79,208.1,5,1394.41
UK,-1559.52,-62.78,-2650.59,26144.28,1.15,131.08,-7.1,9,High,414.68,11.7,-3.37,38.7,61.94,4,796
USA,-1614.9,-74.67,-3625.68,32358.51,10.83,107.42,-7.81,6,Medium,25.94,6.4,-4,13.86,130.76,2,3523.68
USA,1196.91,-105.61,-2622.54,14938.26,5.34,66.14,-6.42,18,Low,1.28,5.98,-2.77,16.5,162.62,1,0
Europe,-1612.62,-56.16,-3746.88,32563.26,2.32,42.84,-3.58,6,Very low,0.04,10.94,-7.05,25.86,119.94,4,1644.84
