F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
14.4,1.56,-80.64,-4.14,16.39,20,-6.8,20.99,-14.78,80.72,-5.98,1050,6.4,11.88,7.26,False
24,-0.24,-80.64,-4.05,16.09,20,-7.34,-14.01,-16.78,130.72,-5.41,630,5.95,13.11,8.71,True
14,0.81,-50.64,-15,14.19,20,-6.78,-69.01,-11.22,260.72,-3.12,660,8.05,12.66,,False
0.2,-3.53,-41.64,-26.7,8.79,2,3.28,-70.01,-16.1,26.72,-0.3,9,0.53,26.31,8.33,True
16.1,0.66,-80.64,-3.6,16.79,20,-10.4,-4.01,-13.42,50.72,-6.14,735,7.8,9.75,,True
23,-1.02,-50.64,-13.17,13.79,20,-6,-14.01,-9.86,220.72,-4.37,720,5.65,16.71,,False
24.9,0.07,-80.64,-7.38,13.09,20,-3.28,-9.01,-8.42,40.72,-3.49,30,6.3,15.12,7.45,False
15.8,-0.96,-80.64,-8.61,14.74,20,-5.82,-59.01,-16.62,140.72,-4.48,975,5.15,19.95,7.72,False
2.52,-5.33,-41.64,-20.82,8.06,2,3.16,-84.01,-11.78,12.72,1.64,9,0.02,32.37,6.88,False
10.3,1.13,-80.64,-4.53,16.04,20,-1.02,-129.01,-7.36,100.72,-5.65,375,6.1,14.34,,True
21,-1.14,-80.64,-4.89,15.94,20,-8.96,-34.01,-7.6,80.72,-2.35,450,5.1,11.37,,True
3.12,-3.96,-47.64,-17.58,8.7,2,0.5,-70.01,-13.18,6.72,-0.1,135,0.89,25.08,,True
15.7,-1.26,-110.64,-8.88,12.99,20,-0.78,-124.01,-11.1,110.72,-3.38,90,5.3,17.31,6.88,False
26.6,-3.15,-110.64,-13.02,13.19,20,-3.24,-79.01,-8.46,420.72,-2.5,795,5.8,19.2,6.73,False
2.68,-6.64,-41.64,-31.2,8.52,2,6.6,-58.01,-12.66,84.72,-0.3,69,0.01,34.05,,False
3.58,-4.51,-47.64,-21.93,7.89,2,1.28,-87.01,-10.42,56.72,1.51,105,0.96,27.12,8.91,True
15.5,-0.13,-80.64,-5.58,12.49,20,-6.36,-114.01,-8.36,0.72,-5.32,780,9.15,12.9,,True
21.3,-0.99,-80.64,-9.18,14.19,20,-8.32,-149.01,-8.04,370.72,-5.2,990,9.75,28.11,,True
3.76,-4.48,-41.64,-17.97,8.48,2,0.72,-64.01,-11.82,34.72,-0.94,57,0.75,28.47,7.93,True
2.7,-4.68,-47.64,-20.4,8.73,2,0.86,-72.01,-9.3,-1.28,-0.8,3,1.03,25.5,7.37,True
12.4,-0.68,-50.64,-11.1,13.29,20,-7.62,20.99,-12.88,70.72,-3.32,675,8.6,11.88,6.77,False
3.32,-4.31,-41.64,-19.32,8.38,2,2.36,-88.01,-10.6,70.72,-0.14,126,0.64,27.24,,False
2.92,-4.05,-41.64,-23.13,8.63,2,1.38,-85.01,-10.16,60.72,-0.15,156,0.18,26.49,6.9,False
3.74,-6.13,-41.64,-19.11,8.62,2,3.34,-87.01,-11,12.72,-0.58,108,0.02,34.8,,True
24.8,-3.06,-80.64,-9.42,13.74,20,-6.24,-49.01,-6.98,100.72,-2.93,375,5.15,14.58,,False
2.1,-5.5,-41.64,-21.57,8.01,2,3.96,-76.01,-13.18,2.72,0.11,6,0.45,26.76,,False
10.8,-0.15,-110.64,-7.89,14.09,20,-4,-124.01,-9.34,430.72,-4.68,255,8.2,13.68,7.14,False
20.4,-2.75,-80.64,-6.27,15.59,20,-7.28,-49.01,-8.78,340.72,-4.91,285,5.7,13.59,,True
2.46,-5.92,-41.64,-24.3,7.94,2,3.68,-58.01,-10.46,36.72,1.69,3,0.95,28.95,,False
20.9,-1.42,-65.64,-7.86,14.49,20,-5.94,-69.01,-6.8,60.72,-4.33,15,6,11.7,8.23,False
25.6,-0.27,-80.64,-12.03,13.14,20,-3.78,-89.01,-10.76,190.72,-3.55,480,6.25,21.3,,False
13.9,0.06,-80.64,-6.45,13.84,20,-7.88,20.99,-10.28,20.72,-3.31,300,9.35,12.12,,True
29.9,-0.38,-80.64,-8.82,14.24,20,-5.3,-104.01,-9.22,330.72,-3.85,480,5.35,17.94,6.17,False
13.1,-0.1,-80.64,-8.34,14.04,20,-2.06,-39.01,-11.52,410.72,-3.74,45,7.1,14.76,6.51,False
2.52,-4.21,-35.64,-19.11,8.83,2,1.1,-51.01,-11.5,-13.28,3.59,60,0.03,29.49,8.77,True
23,-0.76,-80.64,-9.18,14.09,20,0.68,-64.01,-12.86,410.72,-2.16,30,5.7,16.26,6.21,False
11.4,-0.04,-110.64,-6.27,13.34,20,-5.64,-99.01,-8.74,160.72,-2.96,435,7.45,13.77,,False
18.4,-0.08,-110.64,-10.71,13.44,20,-5.58,-79.01,-7.14,120.72,-3.87,390,6.15,16.71,6.3,False
0.46,-3.81,-47.64,-20.58,8.13,2,6.06,-85.01,-10.06,14.72,0.5,96,0.94,25.56,,False
3.74,-4.38,-41.64,-24.15,8.57,2,2.14,-63.01,-13.58,66.72,0.24,81,0.39,27.87,,False
11.3,-0.5,-50.64,-10.23,13.19,20,-4.34,-49.01,-15.32,350.72,-2.77,1005,7.6,19.83,,False
14.2,0.1,-80.64,-7.2,12.89,20,-4.32,-104.01,-8.7,280.72,-3.58,525,8.35,15.36,,False
16.7,0.39,-50.64,-9.09,14.34,20,-6.36,-64.01,-12.18,110.72,-2.4,705,5.2,13.62,,False
2.6,-5.43,-35.64,-28.53,8.37,2,2.12,-56.01,-10.26,22.72,-0.93,72,0.94,29.16,8.74,True
27.5,-1.76,-110.64,-13.02,12.49,20,-0.32,-84.01,-8.58,430.72,-1.59,615,8.1,19.32,,False
1.9,-5.98,-41.64,-21.21,8.26,2,4.66,-82.01,-9.8,30.72,0.61,18,0.73,25.86,,False
2.74,-5.6,-41.64,-21.09,8.56,2,6.04,-57.01,-11.12,60.72,-0.61,195,0.67,26.85,,True
14.8,-0.7,-80.64,-8.7,15.04,20,-3.52,-59.01,-10.28,410.72,-3.57,825,5.45,14.94,6.18,False
1.8,-4.47,-41.64,-24.51,8.92,2,0.56,-60.01,-10.8,34.72,0.75,60,0.29,32.7,,True
2.64,-3.67,-41.64,-25.2,8.8,2,1.26,-58.01,-11.32,74.72,-0.64,117,0.74,28.26,8.36,True
0.94,-4.72,-47.64,-19.71,8.25,2,2.14,-85.01,-10.28,72.72,0.61,9,0.6,26.49,,False
14.1,-1.22,-65.64,-9.66,13.24,20,-6.54,-74.01,-9.56,-9.28,-3.75,540,5.9,13.77,,False
16.8,1.98,-50.64,-6.27,16.59,20,-6.96,-4.01,-12.38,50.72,-6,1020,9.8,9.33,9.56,True
0.08,-3.66,-41.64,-22.5,8.62,2,2.5,-81.01,-11.92,22.72,-0.31,126,0.64,27.63,,True
20.6,1.05,-80.64,-8.37,15.24,20,-8.84,-4.01,-13.54,80.72,-4.96,1125,7.45,11.04,6.43,False
3.82,-4.22,-41.64,-19.35,7.84,2,7.46,-88.01,-10.84,66.72,0.84,51,0.29,39.69,7.14,False
2.82,-4.53,-47.64,-18.15,8.51,2,2.82,-84.01,-11.08,20.72,-0.54,15,0.86,26.85,8.26,True
15.9,0.96,-80.64,-4.71,14.89,20,-6.18,-19.01,-11.92,310.72,-5.32,1020,7.55,15.51,,False
17.2,-0.35,-80.64,-13.65,14.19,20,-7.96,-164.01,-10.82,180.72,-5.01,690,7.2,22.14,,True
10.7,-1.11,-50.64,-10.8,13.04,20,-1.96,15.99,-12.74,120.72,-2.59,390,6,15.51,6.62,False
0.22,-3.77,-47.64,-23.73,8.54,2,1.48,-80.01,-11.4,34.72,0.42,6,0.01,31.95,6.46,False
3.38,-5.41,-41.64,-20.67,8.32,2,0.98,-87.01,-11.74,64.72,-0.74,90,0.95,27.63,,True
0.16,-4.05,-41.64,-20.07,8.5,0,1.22,-81.01,-10.84,68.72,-0.6,9,0.9,25.08,,True
3.84,-4.87,-35.64,-29.25,8.33,2,7.14,-59.01,-16.84,40.72,0.62,42,0.32,31.11,,False
2.22,-3.84,-47.64,-31.17,8.55,2,2.64,-72.01,-16.22,76.72,-0.81,138,0.61,26.91,,False
30.7,-1.15,-110.64,-16.38,13.59,20,-5.26,-154.01,-8.76,300.72,-3.86,1095,5.35,16.56,6.93,False
0.18,-4.98,-41.64,-17.94,8.78,2,1.68,-84.01,-11.32,64.72,-0.46,48,0.42,26.34,,False
3.08,-4.5,-41.64,-18.9,8.34,2,1.68,-52.01,-12.28,24.72,1.84,24,0.21,30.33,,False
12.7,-0.29,-80.64,-5.43,14.24,20,-7.5,-144.01,-10,400.72,-4.56,360,8.55,13.17,7.68,True
3.4,-4.53,-41.64,-18.75,8.19,2,0.96,-85.01,-9.42,58.72,-0.23,24,0.95,27.15,,True
20.9,-0.49,-50.64,-8.73,13.44,20,3.52,25.99,-14.6,140.72,-4.7,360,6.25,18.3,,False
2.3,-4.84,-41.64,-18.75,8.45,2,2.36,-50.01,-12.22,28.72,-0.36,21,0.04,26.04,6.75,False
1.7,-4.02,-41.64,-31.2,8.41,2,4.72,-73.01,-13.74,2.72,1.6,48,0.33,38.16,,False
12.4,1.12,-50.64,-4.65,14.34,20,0.54,25.99,-14.98,130.72,-3.98,435,8.9,15.72,7.22,False
2.22,-4.54,-35.64,-20.52,8.5,2,2.84,-64.01,-10.28,70.72,-0.9,42,0.96,25.5,6.67,False
1.24,-4,-41.64,-24.06,8.39,2,8.54,-59.01,-10.52,64.72,-0.28,54,0.9,26.88,8.15,False
4.08,-5.54,-41.64,-18.3,8.1,2,3.02,-68.01,-12.28,-3.28,-0.75,12,0.89,31.32,,True
13.9,-1.63,-80.64,-6.51,13.24,20,-2.42,-19.01,-10.42,220.72,-3.88,75,7.4,15.63,,False
17.7,-0.58,-110.64,-9.39,13.44,20,-5.46,-94.01,-10.66,270.72,-3.17,360,5.75,17.31,,False
2.3,-6.63,-41.64,-28.53,8.68,2,4.58,-62.01,-12.88,72.72,2.16,60,0.14,26.4,7.09,False
16.5,-0.86,-50.64,-23.85,13.64,20,-2.16,-4.01,-11.92,270.72,-4.07,375,5.45,18.36,,False
2.66,-5.54,-41.64,-21.78,8.51,2,5.74,-75.01,-11.1,26.72,-0.07,45,0.72,25.74,,True
3.24,-4.47,-38.64,-20.82,8.19,2,1.12,-87.01,-9.08,34.72,1.85,0,0.42,28.26,,True
19.4,-0.18,-80.64,-3.63,16.54,20,-9.04,-39.01,-9.54,250.72,-5.87,885,6.15,11.4,8.43,True
27.9,-2.76,-80.64,-8.22,12.99,20,-5.68,-34.01,-7.82,340.72,-4.05,555,7.25,23.97,,False
21.7,0.56,-50.64,-5.07,13.59,20,-7.92,-69.01,-11.22,350.72,-3.67,135,9.65,16.5,,True
15.2,1.31,-110.64,-2.07,16.89,20,-9.16,-99.01,-8.96,90.72,-5.16,750,5.95,19.26,,True
17.7,-0.53,-80.64,-9.3,13.74,20,-4.84,-9.01,-11.26,210.72,-3.03,1020,6,17.88,,False
0.8,-4.76,-47.64,-18.66,8.09,2,1.26,-82.01,-9.58,12.72,0.87,9,0.86,26.43,,True
2.7,-4.11,-41.64,-18.48,8.48,2,4.2,-79.01,-10,34.72,0.24,123,0.07,27.9,,False
18.8,0.18,-80.64,-2.64,16.79,20,-8.54,-29.01,-10.76,250.72,-4.76,555,6.75,9.96,,True
1.62,-5.2,-35.64,-19.26,8.28,2,1.22,-67.01,-11,4.72,0.56,21,0.93,26.82,9.32,True
13.9,-0.13,-50.64,-7.65,14.19,20,-1.28,-24.01,-8.58,300.72,-4.57,105,5.9,17.88,8.2,False
28.7,0.29,-80.64,-7.77,14.29,20,-6.76,-124.01,-8.24,170.72,-5.13,690,6.8,13.47,,False
2.52,-3.59,-41.64,-17.34,8.81,2,1.12,-66.01,-10.2,-5.28,-0.69,78,0.56,26.55,,True
22.8,0.65,-50.64,-2.82,15.44,20,-3.18,-59.01,-11.98,270.72,-3.94,825,8.8,10.05,8.29,True
3.32,-4.14,-41.64,-26.28,8.44,2,1.06,-67.01,-9.88,12.72,0.82,99,0.1,30.33,6.94,False
12.7,-0.38,-50.64,-8.88,13.79,20,-6.04,-24.01,-10,270.72,-4.29,255,5.8,17.13,7.21,False
1.68,-3.84,-47.64,-18.03,8.8,2,0.8,-89.01,-10.46,62.72,1.17,15,0.28,27.9,8.34,True
17.3,-1.39,-110.64,-6.06,16.19,20,-8,-89.01,-8.82,280.72,-3.6,825,5.9,16.17,8.72,True
27.5,-0.66,-80.64,-5.67,13.99,20,-0.38,-54.01,-12.2,110.72,-5.21,420,6.75,12.45,7.92,False
1.66,-4.51,-47.64,-19.41,8.68,2,5.28,-74.01,-10.3,30.72,-0.16,123,0.15,25.95,,False
3.66,-5.44,-47.64,-18.93,8.85,2,1.22,-78.01,-10.14,24.72,-0.17,210,0.03,30.42,6.74,False
10.4,0.09,-50.64,-7.23,12.29,20,-5.4,-34.01,-13.32,190.72,-2.3,45,9.1,16.74,6.26,False
22.6,1.02,-80.64,-5.7,15.59,20,-2.34,-59.01,-10.28,420.72,-3.86,990,7.5,17.82,,False
1.52,-5.57,-41.64,-20.79,8.44,2,0.8,-80.01,-14.02,18.72,-0.86,9,0.98,29.19,,True
23.4,0.84,-80.64,-3.87,14.34,20,-4.28,-129.01,-14.22,140.72,-5.18,1020,7.85,11.46,,True
15,0.24,-50.64,-2.97,16.84,20,-9.44,15.99,-11.46,440.72,-4.79,1050,7.85,9.99,6.14,False
18.2,-3.77,-80.64,-6.87,14.19,20,-6.8,0.99,-10.5,80.72,-4.78,615,6.75,18.27,,False
23.2,0.46,-80.64,-7.8,14.24,20,-5.46,-39.01,-9.84,420.72,-4.63,990,8.75,13.38,,False
10.6,-0.49,-80.64,-7.86,13.34,20,-5.42,25.99,-13.56,410.72,-4.27,135,7.55,16.86,,False
11.8,0.34,-50.64,-10.47,13.34,20,-2.6,-54.01,-10.36,220.72,-4.75,450,7.8,20.34,7.7,False
19.7,-5.01,-50.64,-10.59,13.54,20,-4.38,20.99,-13.24,420.72,-3.43,990,6.1,17.07,,False
13.8,-0.09,-80.64,-8.37,14.19,20,-3.18,-109.01,-14.98,260.72,-4.54,1080,5.75,23.76,7.38,False
0.56,-8.65,-44.64,-20.46,8.27,2,5.1,-86.01,-9.42,68.72,0.41,0,0.45,31.89,6.38,False
10.4,-1.15,-95.64,-8.01,14.19,20,-8.2,-74.01,-12.62,280.72,-3.24,195,8.25,21.72,8.81,True
21,0.88,-80.64,-6.06,14.94,20,-6,-104.01,-10.52,40.72,-1.96,885,6.7,10.98,,True
1.98,-4.04,-35.64,-18.78,8.82,2,0.24,-68.01,-11.36,6.72,-1.27,186,0.95,27.12,,True
3.08,-4.93,-35.64,-17.91,8.57,2,9.6,-56.01,-13.04,-1.28,1.29,177,0.53,25.11,,True
26,-1.99,-110.64,-7.2,14.99,20,-7.54,-79.01,-7.98,280.72,-3.68,1095,5.65,13.65,6.4,False
1.68,-3.54,-41.64,-19.5,8.68,2,3,-73.01,-10.8,0.72,1.64,192,0.75,27.33,,True
16.2,-0.12,-65.64,-10.59,13.94,20,3.86,-74.01,-11.22,170.72,-3.85,825,7.2,13.53,,False
17.1,-1.68,-80.64,-13.89,12.94,20,-3.44,15.99,-11.7,470.72,-2.97,810,6.5,19.05,,False
12.9,-0.1,-110.64,-9.3,13.59,20,-4.42,-164.01,-9.26,120.72,-4.5,1035,8.1,22.26,,True
26.3,-1.29,-80.64,-12,12.54,20,-5.2,-164.01,-6.84,230.72,-3.84,555,7.4,18.75,6.64,False
1.48,-3.76,-41.64,-19.11,7.95,2,3.7,-74.01,-18.62,-1.28,-0.81,33,0.99,28.47,7.68,False
23.8,1,-50.64,-7.17,15.79,20,-7.34,-9.01,-12.92,410.72,-4.83,930,7.05,11.25,7.66,False
20.2,1.04,-50.64,-6.18,15.84,20,-9.42,-24.01,-12.42,350.72,-5.55,855,8.65,14.16,,False
19,-0.91,-80.64,-6,13.89,20,-7.4,-9.01,-10.12,90.72,-3.89,720,6.7,16.05,6.18,False
1,-4.04,-35.64,-18.42,8.51,2,1.32,-67.01,-14.36,34.72,-0.67,21,0.7,27.84,,True
3.24,-5,-41.64,-22.26,7.87,2,2.16,-53.01,-10.22,48.72,-0.45,24,0.85,27.15,,False
0.38,-3.89,-41.64,-22.65,8.45,2,11.34,-51.01,-13.18,2.72,0.04,45,0.75,29.61,,True
3.14,-5.28,-41.64,-22.23,8.83,2,0.94,-54.01,-14.36,60.72,3.99,105,0.36,25.53,8.79,True
12.7,1.24,-50.64,-6.93,17.79,20,-10.4,-4.01,-13.42,300.72,-4.54,570,8.85,11.61,,True
20.6,-1.58,-80.64,-4.5,16.24,20,-7.42,15.99,-9.84,390.72,-3.63,465,6.9,20.04,,True
0.16,-3.85,-47.64,-18.96,8.43,2,1.82,-77.01,-9.74,76.72,1.05,15,0.43,26.52,7.14,False
18.9,-1.3,-80.64,-6.21,13.79,20,-7.38,-54.01,-9.1,390.72,-3.08,840,8.4,13.8,6.43,False
21.2,0.1,-80.64,-8.07,15.44,20,-6.72,-59.01,-10.98,400.72,-4.3,240,5,14.82,8.1,False
16.6,0.45,-50.64,-7.35,14.89,20,-5.14,-59.01,-10.28,50.72,-5.26,645,5.15,14.37,,False
3.02,-3.88,-47.64,-19.14,8.34,2,1.2,-80.01,-13.22,40.72,-0.67,81,0.25,27.12,7.2,False
20.7,-0.65,-80.64,-12.99,13.14,20,-4.92,-54.01,-8.2,160.72,-4.02,105,5.3,17.4,6.25,False
4.36,-4.95,-41.64,-17.58,8.83,2,0.92,-58.01,-11.12,42.72,-0.53,180,0.61,26.76,8.29,True
3.06,-4.02,-35.64,-21.54,8.77,2,4.22,-50.01,-11.06,76.72,0.56,111,1.01,27.75,7.62,True
2.58,-7.04,-35.64,-21.48,8.66,2,7.94,-56.01,-15.3,18.72,-0.14,12,0,27.21,7.02,False
2.6,-4.49,-47.64,-26.61,7.9,2,3.22,-79.01,-10.96,-1.28,4.09,99,0.46,31.08,,False
1.76,-4.47,-47.64,-20.4,8.66,2,1.3,-78.01,-10.1,70.72,-0.05,165,0.4,26.25,7.02,False
0.82,-5.65,-38.64,-24.6,8.72,2,1.22,-68.01,-10.76,70.72,-0.49,0,0.47,29.19,,False
15.1,-0.39,-80.64,-4.5,14.49,20,-8.34,-34.01,-13.54,240.72,-4.75,750,9.6,11.52,,True
12.5,-2.27,-110.64,-5.34,16.14,20,-6.96,-79.01,-7.96,400.72,-1.72,630,7.4,16.47,7.88,True
18,-1.22,-50.64,-6.36,14.99,20,-6.68,5.99,-10.02,280.72,-5.27,195,8.3,16.86,,True
3.1,-3.61,-35.64,-21.15,8.47,2,1.82,-49.01,-14.34,54.72,-0.77,3,0.99,25.5,,True
15.9,-1.36,-110.64,-7.5,12.99,20,-5.48,-169.01,-9.18,430.72,-3.38,615,9,15.57,,False
2.68,-4.62,-41.64,-27.72,8.52,2,1.8,-68.01,-12.86,-3.28,2.34,57,0.58,26.01,,True
18.8,-0.32,-80.64,-9.18,15.09,20,-6.46,-19.01,-8.34,280.72,-4.75,60,5.05,13.95,,False
3.8,-4.67,-47.64,-25.29,7.98,2,3.76,-89.01,-10.32,14.72,1.62,114,0.76,29.34,9.2,True
12,-0.48,-110.64,-3.42,16.99,20,-8.56,-124.01,-8.12,390.72,-5.89,600,6.4,13.17,,True
13.7,1.14,-80.64,-7.56,15.94,20,-7.62,0.99,-11.76,230.72,0.04,375,7.65,13.71,8.27,True
2.56,-3.97,-41.64,-23.22,8.57,2,3.02,-55.01,-10.16,10.72,-0.55,9,0.01,30.3,,False
2.2,-4.08,-41.64,-18.27,8.69,2,1.34,-64.01,-12.04,32.72,-0.37,30,0.46,25.41,8.54,True
21.8,-1.7,-80.64,-10.68,13.74,20,-4.42,-114.01,-11.4,430.72,-2.79,1110,6.7,18.72,6.94,False
10.4,-0.7,-110.64,-14.94,15.14,20,-6.9,-164.01,-8.9,420.72,-4.92,435,6.85,13.44,,False
3.32,-6.2,-41.64,-23.76,8.62,2,1.96,-82.01,-11.54,16.72,0.74,210,0.27,33.03,,False
22.8,-1,-50.64,-7.59,14.24,20,-5.24,-69.01,-7.5,20.72,-5.43,450,6.85,11.25,,True
2.26,-4.88,-35.64,-20.43,8.66,2,1.38,-63.01,-13.54,54.72,0.42,27,0.26,27.75,6.44,False
17.9,-0.06,-80.64,-8.7,13.99,20,-4.42,-9.01,-11.42,320.72,-3.4,300,6.5,15.3,7.31,False
12.5,-0.42,-80.64,-5.01,14.69,20,-3.28,-49.01,-14.4,110.72,-5.24,885,5.35,20.49,,False
15.5,0.54,-110.64,-7.29,13.64,20,-3.16,-99.01,-12.74,190.72,-3.15,240,8.2,18.99,,False
2,-4.12,-47.64,-22.47,8.4,2,4.34,-85.01,-12.66,2.72,-0.1,69,0.43,27.9,7.7,True
15.2,-1.77,-80.64,-2.13,16.84,20,-7.1,-104.01,-8.76,160.72,-5.71,810,6.75,14.58,8.57,True
2.1,-4.68,-47.64,-20.49,8.73,2,3.68,-74.01,-9.98,44.72,-0.38,24,0.27,27.42,,True
3.74,-4.84,-41.64,-25.77,8.75,2,1.34,-50.01,-10.44,66.72,2.65,153,0.42,30.57,,True
24.3,0.34,-50.64,-5.58,13.54,20,-1.34,-54.01,-8.62,240.72,-4.17,345,7.95,12.99,6.33,False
2.72,-4.92,-41.64,-22.08,7.87,2,4.16,-79.01,-13,68.72,0.68,3,0.4,26.85,,False
12.2,-0.66,-80.64,-4.8,14.94,20,-6.36,-79.01,-8.56,430.72,-0.99,390,8.55,16.26,,True
2.48,-4.29,-35.64,-22.77,8.83,2,1.56,-63.01,-11.04,32.72,0.33,90,0.58,31.98,9.06,True
15.5,1.15,-80.64,-3.99,16.79,20,-5.4,-154.01,-9.98,350.72,-3.51,690,6,20.01,,True
28.5,0.67,-80.64,-5.37,13.99,20,-6.28,20.99,-10.12,360.72,-4.49,1065,8.95,16.92,,False
11.6,1.4,-50.64,-2.52,17.09,20,-3.96,-69.01,-8.06,200.72,-5.44,105,5.3,11.88,8.9,True
1.8,-3.93,-41.64,-23.07,8.64,2,3.28,-80.01,-13.86,38.72,-0.77,168,0.5,30.06,,True
11.1,0.03,-80.64,-5.91,14.14,20,-6.9,25.99,-11.84,190.72,-3.98,795,7.25,17.28,,False
13.5,-0.85,-110.64,-10.08,13.14,20,-2.98,-99.01,-12.7,200.72,-4.01,210,6.35,16.77,6.81,False
25.5,-1.49,-110.64,-11.64,13.74,20,-5.92,-114.01,-8.28,430.72,-3.75,585,7.3,20.55,7.31,False
18.6,-0.29,-80.64,-6.57,13.84,20,-7.92,-84.01,-9.62,110.72,-0.42,960,8.35,11.22,,False
3.28,-4.12,-35.64,-22.89,8.83,2,0.56,-62.01,-10.98,0.72,-0.88,60,0.22,25.17,,True
3.02,-4.14,-41.64,-23.13,8.3,2,2.9,-77.01,-10.36,46.72,-0.82,24,0.88,30.54,8.01,True
0.84,-3.69,-47.64,-22.11,8.77,2,3.86,-88.01,-9.62,26.72,2.3,54,0.53,26.1,8.88,True
16.8,-0.32,-50.64,-8.55,13.39,20,-0.88,-69.01,-7.54,290.72,-4.74,30,8.45,13.5,,False
2.12,-6.06,-41.64,-18.69,8.57,2,0.9,-62.01,-11.24,22.72,-0.34,195,0.65,29.25,,True
2.7,-6.06,-35.64,-20.22,8.37,2,1.12,-63.01,-10.92,58.72,0.26,33,0.39,35.28,,False
14.6,-0.55,-80.64,-9.24,15.19,20,-5.66,15.99,-10.4,450.72,-2.36,600,6,14.61,6.05,False
10.3,1.07,-80.64,-8.82,14.89,20,-6.08,-24.01,-13.48,30.72,-4.45,570,8.05,19.23,7.51,True
2.28,-4.45,-41.64,-20.04,8.48,2,5.22,-56.01,-9.92,-7.28,-0.71,6,0.38,25.47,7,False
10.1,-0.54,-80.64,-5.61,15.89,20,-7.14,-69.01,-8.84,160.72,-4.93,45,5.1,12.87,,True
3.54,-4.81,-41.64,-20.34,8.09,2,1.72,-73.01,-10.64,10.72,-0.23,6,0.36,26.37,7.69,False
20.9,0.58,-50.64,-6.21,16.64,20,-6.56,-54.01,-8.86,460.72,-4.58,315,5.9,13.32,,True
1.58,-5.65,-47.64,-18.45,8.18,2,2.04,-70.01,-10.56,52.72,-0.7,48,0.61,31.11,7.54,False
11.8,0.02,-110.64,-5.94,13.29,20,-7.3,-139.01,-10.02,100.72,1.32,885,9.3,17.22,8.29,True
13.9,0.89,-80.64,-7.77,13.49,20,-8.86,-109.01,-8.32,140.72,-5.58,330,9.6,13.5,9.53,True
2.82,-3.64,-41.64,-21.84,8.6,2,3.62,-52.01,-10.14,28.72,0.04,78,0.58,30.15,,True
18,-2.22,-80.64,-5.13,13.19,20,-7.06,-44.01,-18.86,200.72,-5.16,1035,10,13.65,,False
3.2,-4.61,-41.64,-23.52,8.82,2,2.34,-75.01,-12.68,50.72,0.98,45,0.32,38.22,,True
0.54,-5.17,-47.64,-18.36,8.36,2,4.52,-76.01,-14.04,16.72,0.06,48,0.24,25.74,,False
1.4,-4,-41.64,-26.25,8.69,2,1.92,-76.01,-11.46,46.72,1.07,48,0.31,25.41,7.09,False
3.82,-6.22,-35.64,-27.57,8.6,2,5.78,-68.01,-10.44,22.72,1.17,33,0.65,26.22,9.6,True
1.58,-4.41,-47.64,-22.38,8.46,2,3.96,-72.01,-11.04,62.72,-0.82,33,0.6,27,7.61,False
25.5,-1.34,-50.64,-1.89,16.74,20,-7.88,-59.01,-12.14,60.72,-5.62,1080,6.25,11.67,,True
1.7,-4.6,-41.64,-21.9,8.44,2,4.54,-54.01,-10.24,18.72,-0.41,30,0.28,35.19,7.48,False
11.2,1.35,-50.64,-6.81,17.34,20,-6.74,-44.01,-14.22,290.72,-2.32,990,7.8,10.65,8.09,False
19.1,-1.47,-110.64,-10.59,12.89,20,-3.2,-134.01,-7.78,380.72,-3.76,255,7.4,23.37,,False
2.92,-6.79,-41.64,-18.54,8.71,2,1.76,-58.01,-11.68,44.72,-0.85,15,0.93,36.39,,True
1.46,-4.26,-41.64,-27.69,8.75,2,3.76,-74.01,-11.5,70.72,0.68,135,0.5,28.44,9.26,True
12.1,-1.9,-50.64,-9.06,13.29,20,-6.66,-4.01,-13.04,50.72,-4.08,960,5.6,21.9,5.22,False
1.86,-3.76,-41.64,-18.33,8.4,2,1.48,-75.01,-10.58,10.72,1.11,45,0.18,27.66,7.14,False
1.66,-3.75,-32.64,-19.29,8.63,2,1.24,-54.01,-11.04,54.72,-0.97,0,0.72,30.48,,True
29,-1.33,-80.64,-9.51,13.54,20,-4.34,-149.01,-10.64,430.72,-4.02,570,6.85,20.49,7.84,False
3.58,-4.32,-47.64,-18.69,8.54,2,3.56,-82.01,-17.36,50.72,1.04,48,0.73,27.33,,True
2.78,-4.9,-47.64,-22.89,8.54,2,2.02,-75.01,-10.64,20.72,-0.39,207,0.09,31.05,,False
3.68,-5.6,-41.64,-19.38,8.37,2,7.98,-84.01,-10.68,48.72,1.48,78,1.05,29.13,9.05,True
18.8,-1.96,-110.64,-11.25,13.39,20,-2.56,-159.01,-10.04,430.72,-2.72,1035,6.2,18.51,,False
16.9,-0.9,-50.64,-6.57,13.84,20,-5.38,-4.01,-12.52,370.72,-4.04,180,7.45,17.28,6.18,False
1.78,-3.67,-41.64,-24,8.66,2,0.98,-56.01,-11.42,-7.28,2.45,18,0.66,32.52,,True
3.68,-4.55,-41.64,-20.55,8.88,2,0.74,-82.01,-9.3,34.72,0.51,60,0.25,31.92,,True
10.1,-2.72,-50.64,-12.39,13.39,20,-5.18,-54.01,-13.36,340.72,-1.59,765,7.35,19.41,5.46,False
19.9,0.61,-50.64,-6.36,13.79,20,-7.46,5.99,-8.08,110.72,-1.08,90,6.75,13.14,6.93,False
